"Employment, thousands"
"October 2009","16811.9"
"November 2009","16892.3"
"December 2009","16858.6"
"January 2010","16887.9"
"February 2010","16916.1"
"March 2010","16933.1"
"April 2010","16989.5"
"May 2010","17026.4"
"June 2010","17083.9"
"July 2010","17086.7"
"August 2010","17116.6"
"September 2010","17081.6"
"October 2010","17127.1"
"November 2010","17140.0"
"December 2010","17167.5"
"January 2011","17238.1"
"February 2011","17235.2"
"March 2011","17244.2"
"April 2011","17277.4"
"May 2011","17287.1"
"June 2011","17318.5"
"July 2011","17335.5"
"August 2011","17344.5"
"September 2011","17375.3"
"October 2011","17346.5"
"November 2011","17334.4"
"December 2011","17361.0"
"January 2012","17366.5"
"February 2012","17354.0"
"March 2012","17450.2"
"April 2012","17501.5"
"May 2012","17495.9"
"June 2012","17505.3"
"July 2012","17483.9"
"August 2012","17520.0"
"September 2012","17562.1"
"October 2012","17571.4"
"November 2012","17628.3"
"December 2012","17668.9"
"January 2013","17651.4"
"February 2013","17695.6"
"March 2013","17643.2"
"April 2013","17655.1"
"May 2013","17744.6"
"June 2013","17748.4"
"July 2013","17705.6"
"August 2013","17770.1"
"September 2013","17775.1"
"October 2013","17786.8"
"November 2013","17811.9"
"December 2013","17767.9"
"January 2014","17797.3"
"February 2014","17790.3"
"March 2014","17833.2"
"April 2014","17804.3"
"May 2014","17830.1"
"June 2014","17820.7"
"July 2014","17862.4"
"August 2014","17851.4"
"September 2014","17925.5"
"October 2014","17968.6"
